FL_DATE,AIRLINE,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,AIR_TIME,DISTANCE,DELAY_CATEGORY,ORIGIN_CITY_NAME,ORIGIN_STATE,DEST_CITY_NAME,DEST_STATE
2023-08-11,SkyWest Airlines Inc.,OO,20304,3070,ACT,DFW,1830,1923.0,53.0,1927,2006.0,39.0,0,,0,27.0,89,Carrier,Waco,TX,Dallas/Fort Worth,TX
2022-07-03,Allegiant Air,G4,20368,72,SAN,FSD,817,820.0,3.0,1322,1316.0,-6.0,0,,0,157.0,1336,No Delay,San Diego,CA,Sioux Falls,SD
2021-01-22,SkyWest Airlines Inc.,OO,20304,3716,SFO,SEA,1058,1055.0,-3.0,1314,1303.0,-11.0,0,,0,98.0,679,No Delay,San Francisco,CA,Seattle,WA
2023-08-12,Spirit Air Lines,NK,20416,473,MEM,LAX,2124,2118.0,-6.0,2319,2314.0,-5.0,0,,0,215.0,1619,No Delay,Memphis,TN,Los Angeles,CA
2023-02-13,Spirit Air Lines,NK,20416,2123,LAS,OAK,2222,2216.0,-6.0,2353,2348.0,-5.0,0,,0,71.0,407,No Delay,Las Vegas,NV,Oakland,CA
2021-11-19,Horizon Air,QX,19687,2497,SFO,SEA,600,601.0,1.0,827,800.0,-27.0,0,,0,93.0,679,No Delay,San Francisco,CA,Seattle,WA
2023-08-19,Southwest Airlines Co.,WN,19393,1336,DEN,PHX,1605,1614.0,9.0,1700,1653.0,-7.0,0,,0,85.0,602,No Delay,Denver,CO,Phoenix,AZ
2020-03-27,United Air Lines Inc.,UA,19977,1252,EWR,SAT,1400,,,1710,,,1,D,0,,1569,No Delay,Newark,NJ,San Antonio,TX
2020-08-29,Southwest Airlines Co.,WN,19393,1716,DAL,PHX,600,559.0,-1.0,630,615.0,-15.0,0,,0,126.0,879,No Delay,Dallas,TX,Phoenix,AZ
2021-08-22,American Airlines Inc.,AA,19805,1049,BNA,CLT,1000,1031.0,31.0,1233,1240.0,7.0,0,,0,54.0,328,No Delay,Nashville,TN,Charlotte,NC
2020-03-27,SkyWest Airlines Inc.,OO,20304,4052,SEA,SMF,940,939.0,-1.0,1145,1144.0,-1.0,0,,0,93.0,605,No Delay,Seattle,WA,Sacramento,CA
2022-03-17,PSA Airlines Inc.,OH,20397,5265,DCA,ORF,830,831.0,1.0,928,950.0,22.0,0,,0,37.0,142,Carrier,Washington,DC,Norfolk,VA
2021-06-29,Delta Air Lines Inc.,DL,19790,890,MSP,SEA,1605,1613.0,8.0,1747,1724.0,-23.0,0,,0,168.0,1399,No Delay,Minneapolis,MN,Seattle,WA
2019-12-16,American Airlines Inc.,AA,19805,2926,DFW,DCA,2040,2034.0,-6.0,26,2358.0,-28.0,0,,0,126.0,1192,No Delay,Dallas/Fort Worth,TX,Washington,DC
2021-03-26,SkyWest Airlines Inc.,OO,20304,3089,PHX,IAH,1344,1337.0,-7.0,1847,1807.0,-40.0,0,,0,125.0,1009,No Delay,Phoenix,AZ,Houston,TX
2019-02-15,Delta Air Lines Inc.,DL,19790,2449,ATL,BHM,2109,2109.0,0.0,2105,2057.0,-8.0,0,,0,27.0,134,No Delay,Atlanta,GA,Birmingham,AL
2023-08-27,American Airlines Inc.,AA,19805,2043,BNA,CLT,1002,958.0,-4.0,1226,1217.0,-9.0,0,,0,54.0,328,No Delay,Nashville,TN,Charlotte,NC
2023-05-26,Republic Airline,YX,20452,3678,SAV,ORD,1705,1704.0,-1.0,1841,1824.0,-17.0,0,,0,109.0,773,No Delay,Savannah,GA,Chicago,IL
2019-09-13,American Airlines Inc.,AA,19805,2477,CLT,BWI,1757,1910.0,73.0,1929,2026.0,57.0,0,,0,58.0,361,Late Aircraft,Charlotte,NC,Baltimore,MD
2020-03-18,Southwest Airlines Co.,WN,19393,140,LAS,BWI,1830,1953.0,83.0,155,253.0,58.0,0,,0,227.0,2106,Carrier,Las Vegas,NV,Baltimore,MD
2019-01-24,JetBlue Airways,B6,20409,733,MCO,SJU,1419,1421.0,2.0,1805,1816.0,11.0,0,,0,145.0,1189,No Delay,Orlando,FL,San Juan,PR
2021-11-19,Endeavor Air Inc.,9E,20363,5409,DTW,CWA,2050,2050.0,0.0,2122,2120.0,-2.0,0,,0,61.0,363,No Delay,Detroit,MI,Mosinee,WI
2023-07-08,United Air Lines Inc.,UA,19977,1998,ORD,EWR,1812,1818.0,6.0,2129,2124.0,-5.0,0,,0,92.0,719,No Delay,Chicago,IL,Newark,NJ
2020-01-20,American Airlines Inc.,AA,19805,1630,ATL,DFW,1629,1634.0,5.0,1802,1806.0,4.0,0,,0,121.0,731,No Delay,Atlanta,GA,Dallas/Fort Worth,TX
2021-04-14,Delta Air Lines Inc.,DL,19790,1749,LAX,MCO,1020,1019.0,-1.0,1759,1754.0,-5.0,0,,0,246.0,2218,No Delay,Los Angeles,CA,Orlando,FL
2021-07-24,American Airlines Inc.,AA,19805,1957,DFW,SAT,1030,,,1138,,,1,A,0,,247,No Delay,Dallas/Fort Worth,TX,San Antonio,TX
2021-11-08,Horizon Air,QX,19687,2060,PAE,GEG,700,653.0,-7.0,759,748.0,-11.0,0,,0,39.0,222,No Delay,Everett,WA,Spokane,WA
2021-02-08,Allegiant Air,G4,20368,127,EUG,LAS,1823,1759.0,-24.0,2016,1942.0,-34.0,0,,0,90.0,700,No Delay,Eugene,OR,Las Vegas,NV
2022-12-30,Southwest Airlines Co.,WN,19393,3240,BNA,IAH,2235,2246.0,11.0,45,48.0,3.0,0,,0,107.0,657,No Delay,Nashville,TN,Houston,TX
2022-01-12,American Airlines Inc.,AA,19805,1655,MIA,LGA,600,552.0,-8.0,903,842.0,-21.0,0,,0,152.0,1096,No Delay,Miami,FL,New York,NY
2021-08-01,Envoy Air,MQ,20398,3628,LAW,DFW,1645,2107.0,262.0,1741,2231.0,290.0,0,,0,46.0,140,Weather,Lawton/Fort Sill,OK,Dallas/Fort Worth,TX
2023-03-02,Delta Air Lines Inc.,DL,19790,2146,PDX,LAX,1015,1024.0,9.0,1232,1232.0,0.0,0,,0,113.0,834,No Delay,Portland,OR,Los Angeles,CA
2022-01-14,Delta Air Lines Inc.,DL,19790,759,SEA,MSP,825,816.0,-9.0,1352,1331.0,-21.0,0,,0,169.0,1399,No Delay,Seattle,WA,Minneapolis,MN
2021-05-24,SkyWest Airlines Inc.,OO,20304,4752,IAH,AMA,935,926.0,-9.0,1119,1114.0,-5.0,0,,0,78.0,517,No Delay,Houston,TX,Amarillo,TX
2022-09-19,Envoy Air,MQ,20398,3895,DFW,BTV,1247,1248.0,1.0,1723,1727.0,4.0,0,,0,189.0,1510,No Delay,Dallas/Fort Worth,TX,Burlington,VT
2022-12-11,Southwest Airlines Co.,WN,19393,678,LIH,SJC,1410,1528.0,78.0,2120,2255.0,95.0,0,,0,306.0,2466,NAS,Lihue,HI,San Jose,CA
2019-04-27,SkyWest Airlines Inc.,OO,20304,5894,LAX,SAT,935,928.0,-7.0,1440,1421.0,-19.0,0,,0,145.0,1211,No Delay,Los Angeles,CA,San Antonio,TX
2022-03-10,JetBlue Airways,B6,20409,358,BUR,JFK,2058,2055.0,-3.0,520,520.0,0.0,0,,0,274.0,2465,No Delay,Burbank,CA,New York,NY
2023-02-23,Delta Air Lines Inc.,DL,19790,2331,ATL,ILM,2045,2038.0,-7.0,2201,2144.0,-17.0,0,,0,53.0,377,No Delay,Atlanta,GA,Wilmington,NC
2022-02-05,American Airlines Inc.,AA,19805,1687,CLT,PHL,1102,,,1238,,,1,A,0,,449,No Delay,Charlotte,NC,Philadelphia,PA
2019-09-16,Southwest Airlines Co.,WN,19393,2363,JAX,ATL,1300,1255.0,-5.0,1415,1407.0,-8.0,0,,0,47.0,270,No Delay,Jacksonville,FL,Atlanta,GA
2023-08-28,American Airlines Inc.,AA,19805,1942,CLT,LGA,2039,2114.0,35.0,2230,2317.0,47.0,0,,0,74.0,544,Carrier,Charlotte,NC,New York,NY
2019-11-16,Mesa Airlines Inc.,YV,20378,5866,PHX,OKC,2024,2015.0,-9.0,2327,2318.0,-9.0,0,,0,106.0,833,No Delay,Phoenix,AZ,Oklahoma City,OK
2019-09-05,Envoy Air,MQ,20398,3456,DFW,CRP,1630,1825.0,115.0,1753,1935.0,102.0,0,,0,52.0,354,Carrier,Dallas/Fort Worth,TX,Corpus Christi,TX
2019-01-24,SkyWest Airlines Inc.,OO,20304,5131,LAR,DEN,615,607.0,-8.0,713,739.0,26.0,0,,0,34.0,113,NAS,Laramie,WY,Denver,CO
2020-06-08,Southwest Airlines Co.,WN,19393,2167,BWI,BDL,2025,2026.0,1.0,2140,2137.0,-3.0,0,,0,51.0,283,No Delay,Baltimore,MD,Hartford,CT
2022-10-24,SkyWest Airlines Inc.,OO,20304,3973,MSP,FSD,1535,1528.0,-7.0,1643,1629.0,-14.0,0,,0,38.0,196,No Delay,Minneapolis,MN,Sioux Falls,SD
2019-08-03,Envoy Air,MQ,20398,3590,ORD,CAK,1830,1820.0,-10.0,2055,2047.0,-8.0,0,,0,54.0,343,No Delay,Chicago,IL,Akron,OH
2023-03-01,Republic Airline,YX,20452,3533,MKE,EWR,1216,1229.0,13.0,1541,1530.0,-11.0,0,,0,99.0,725,No Delay,Milwaukee,WI,Newark,NJ
2019-03-21,American Airlines Inc.,AA,19805,249,SAT,DFW,1645,1635.0,-10.0,1759,1747.0,-12.0,0,,0,43.0,247,No Delay,San Antonio,TX,Dallas/Fort Worth,TX
2019-01-02,American Airlines Inc.,AA,19805,4,LAX,JFK,1100,1246.0,106.0,1925,2100.0,95.0,0,,0,286.0,2475,Carrier,Los Angeles,CA,New York,NY
2020-01-02,Delta Air Lines Inc.,DL,19790,2313,SFO,LAX,915,909.0,-6.0,1045,1032.0,-13.0,0,,0,48.0,337,No Delay,San Francisco,CA,Los Angeles,CA
2019-12-31,JetBlue Airways,B6,20409,1152,MCO,BOS,2010,2008.0,-2.0,2301,2236.0,-25.0,0,,0,134.0,1121,No Delay,Orlando,FL,Boston,MA
2019-12-11,Envoy Air,MQ,20398,3689,ROC,ORD,645,639.0,-6.0,752,752.0,0.0,0,,0,93.0,528,No Delay,Rochester,NY,Chicago,IL
2019-07-10,Republic Airline,YX,20452,6060,LGA,PIT,1134,1122.0,-12.0,1322,1233.0,-49.0,0,,0,53.0,335,No Delay,New York,NY,Pittsburgh,PA
2019-04-23,Southwest Airlines Co.,WN,19393,867,SJC,PHX,1750,,,1935,,,1,A,0,,621,No Delay,San Jose,CA,Phoenix,AZ
2020-10-10,Southwest Airlines Co.,WN,19393,1239,AUS,DEN,1935,1930.0,-5.0,2050,2033.0,-17.0,0,,0,107.0,775,No Delay,Austin,TX,Denver,CO
2019-07-22,American Airlines Inc.,AA,19805,2837,JFK,SAT,1831,,,2153,,,1,C,0,,1587,No Delay,New York,NY,San Antonio,TX
2019-10-16,United Air Lines Inc.,UA,19977,541,ORD,LAS,1555,1552.0,-3.0,1753,1740.0,-13.0,0,,0,198.0,1514,No Delay,Chicago,IL,Las Vegas,NV
2022-01-09,American Airlines Inc.,AA,19805,2149,DCA,BOS,1400,1354.0,-6.0,1546,1518.0,-28.0,0,,0,65.0,399,No Delay,Washington,DC,Boston,MA
2020-07-16,American Airlines Inc.,AA,19805,1795,DSM,PHX,826,816.0,-10.0,920,919.0,-1.0,0,,0,162.0,1149,No Delay,Des Moines,IA,Phoenix,AZ
2021-12-16,Allegiant Air,G4,20368,611,BNA,PIE,1214,1207.0,-7.0,1454,1454.0,0.0,0,,0,85.0,612,No Delay,Nashville,TN,St. Petersburg,FL
2022-01-21,Delta Air Lines Inc.,DL,19790,2613,FSD,ATL,725,722.0,-3.0,1111,1054.0,-17.0,0,,0,121.0,954,No Delay,Sioux Falls,SD,Atlanta,GA
2019-03-14,Delta Air Lines Inc.,DL,19790,2428,ATL,CLT,1303,1303.0,0.0,1419,1401.0,-18.0,0,,0,42.0,226,No Delay,Atlanta,GA,Charlotte,NC
2021-03-09,SkyWest Airlines Inc.,OO,20304,5423,ASE,DEN,1334,1328.0,-6.0,1435,1426.0,-9.0,0,,0,30.0,125,No Delay,Aspen,CO,Denver,CO
2021-10-13,Southwest Airlines Co.,WN,19393,393,HOU,SAN,1550,1557.0,7.0,1710,1712.0,2.0,0,,0,180.0,1313,No Delay,Houston,TX,San Diego,CA
2020-07-20,Envoy Air,MQ,20398,4082,ORD,CVG,830,824.0,-6.0,1046,1032.0,-14.0,0,,0,44.0,264,No Delay,Chicago,IL,Cincinnati,OH
2020-04-06,Envoy Air,MQ,20398,3655,ORD,RIC,655,649.0,-6.0,956,933.0,-23.0,0,,0,90.0,642,No Delay,Chicago,IL,Richmond,VA
2020-10-22,Delta Air Lines Inc.,DL,19790,1218,LAX,DEN,810,804.0,-6.0,1128,1112.0,-16.0,0,,0,110.0,862,No Delay,Los Angeles,CA,Denver,CO
2019-02-01,American Airlines Inc.,AA,19805,635,CLT,BNA,1321,1319.0,-2.0,1351,1337.0,-14.0,0,,0,60.0,328,No Delay,Charlotte,NC,Nashville,TN
2019-06-08,American Airlines Inc.,AA,19805,548,SAT,PHX,1539,1537.0,-2.0,1600,1601.0,1.0,0,,0,118.0,843,No Delay,San Antonio,TX,Phoenix,AZ
2022-10-10,SkyWest Airlines Inc.,OO,20304,3630,ATL,SHV,2125,2122.0,-3.0,2214,2209.0,-5.0,0,,0,87.0,551,No Delay,Atlanta,GA,Shreveport,LA
2021-07-11,Delta Air Lines Inc.,DL,19790,495,HNL,LAX,1225,1224.0,-1.0,2059,2053.0,-6.0,0,,0,304.0,2556,No Delay,Honolulu,HI,Los Angeles,CA
2021-06-30,Delta Air Lines Inc.,DL,19790,2145,PHL,ATL,1750,1807.0,17.0,2015,2020.0,5.0,0,,0,106.0,666,No Delay,Philadelphia,PA,Atlanta,GA
